Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC
2014-10-16,153.0169219970703,154.09305765843254,150.24031850944425,150.37996845823096,270391000,29.53583079610314,-2.3018474894124665,-1.39010519612855,-0.9117422932839165,166.98169193895717,159.7263397216797,152.47098750440222,159.7263397216797,161.30259185791016,155.35060195922853,156.94271937831888,159.24456686773135,2.364380268795396,330620400,26.556829752594528,19.811835518238397,-73.44317024740548,-5.4562728107178975
2014-10-17,154.8241729736328,155.8756652595581,154.12591069768982,154.78309651008732,214625000,36.92236257475303,-2.3003411207699855,-1.5721523810568372,-0.7281887397131483,166.37549417365435,159.22400512695313,152.07251608025192,159.22400512695313,161.27513458251954,155.38373054504393,156.61678916221334,158.91713028298332,2.3996919112019954,545245400,39.98787233338273,31.309296271228828,-60.01212766661727,-3.025456857298888
2014-10-20,156.32748413085938,156.450700988959,154.49558914337516,154.54487588661502,130011000,42.33717305515533,-2.1530239462340433,-1.6883266940922783,-0.46469725214176494,165.82237840224428,158.86050338745116,151.89862837265804,158.86050338745116,161.2416033935547,155.42449729919434,156.5722806958512,158.72530464208523,2.36793619222927,675256400,53.443837426918684,39.99617983763196,-46.556162573081316,-2.098955653696876
2014-10-21,159.42446899414062,159.53125276289714,157.29682841133018,157.46112173884418,154949000,51.562190972855845,-1.7660156985013202,-1.7038644949740869,-0.062151203527233356,165.44684326790403,158.69867553710938,151.95050780631473,158.69867553710938,161.2608544921875,155.4828956604004,157.011078895588,158.77709459408933,2.4276385093584483,830205400,77.48727227800475,56.97299401276871,-22.512727721995244,-1.2466987059097299
2014-10-22,158.29080200195312,160.11448651707096,158.22508217301117,159.70374698726562,151822000,48.50323586054219,-1.5331135471074049,-1.6697143054007506,0.13660075829334573,164.72284603804889,158.41649703979493,152.11014804154098,158.41649703979493,161.26184753417968,155.53108879089356,157.20795937349035,158.74107292059776,2.389193211837115,678383400,68.68605119595922,66.53905363362753,-31.313948804040784,-1.8340282589411858
2014-10-23,160.13088989257812,161.1741716960859,159.580500485864,159.87623341698531,154944000,53.341708826409565,-1.1863813341180958,-1.5730477111442198,0.38666637702612405,164.579033289711,158.35858306884765,152.1381328479843,158.35858306884765,161.2782196044922,155.58832038879393,157.65764099181155,158.84402232592964,2.4244915320010905,833327400,82.97156929553437,76.38163092316609,-17.028430704465627,0.8641125243550056
2014-10-24,161.3631591796875,161.41245846271576,159.76950000223232,160.39381970469586,117927000,56.302684734489524,-0.8029043428144007,-1.419019037478256,0.6161146946638554,164.37575310178593,158.29820709228517,152.2206610827844,158.29820709228517,161.3041928100586,155.65122734069826,158.22772071302322,159.03062505583762,2.368667741178401,951254400,96.73342037330815,82.79701362160056,-3.266579626691855,-0.10678794426925636
2014-10-27,161.14137268066406,161.37959614785012,160.21309711707917,160.78813008509604,82954000,55.618552752840266,-0.5110018698596548,-1.2374156039545359,0.7264137340948811,164.1894247929413,158.24152679443358,152.29362879592586,158.24152679443358,161.32638427734375,155.7109996032715,158.67597486189104,159.1869767317507,2.282798547577869,868300400,94.93352354156266,91.54617107013503,-5.066476458437339,1.7744041526376917
2014-10-28,162.98963928222656,162.99784955909732,161.60954814673516,161.68349077766734,106736000,59.98245872359829,-0.1290398972506921,-1.0157404626137672,0.8867005653630751,164.40372889658025,158.2986198425293,152.19351078847833,158.2986198425293,161.358720703125,155.7899382019043,159.33961554194266,159.46865543919336,2.252346999781825,975036400,99.93942701920126,97.20212364469067,-0.06057298079873999,4.13032754922987
2014-10-29,162.74319458007812,163.57288380346114,161.66705916580915,163.10464732207436,142557000,59.14733909840889,0.15202919219746036,-0.7821865316515217,0.9342157238489821,164.83742450836024,158.45305709838868,152.06868968841712,158.45305709838868,161.36928497314454,155.85962371826173,159.86324308627118,159.71121389407372,2.2275954024868367,832479400,94.12791871487681,96.33362309188021,-5.8720812851231825,5.709376221258337
