Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC,Signal
2014-10-16,66.03700256347656,66.62411983528855,65.09574496984305,65.31009343358288,9418000,37.7763590906819,-1.2235968803255446,-0.9465609206373437,-0.277035959688201,72.38182914222465,68.53187713623046,64.68192513023628,68.53187713623046,69.91647705078125,70.56741380691528,67.23148071520072,68.45507759552626,1.333229152884576,-64168600,21.94673416968127,23.85207985146056,-78.05326583031874,-3.997858929591237,hold
2014-10-17,66.68936157226562,67.24852905896314,66.03700898459844,66.81983208979906,5888500,41.54138998248872,-1.1762060458916892,-0.9924899456882128,-0.1837161002034764,71.86799447135238,68.27066001892089,64.67332556648941,68.27066001892089,69.87191833496094,70.5144135093689,67.14807777013378,68.32428381602547,1.3245361059275762,-58280100,34.53952018606282,28.78278714979636,-65.46047981393718,-2.2561322868237728,hold
2014-10-20,67.13668823242188,67.15532382895412,66.29794418628441,66.36317943931125,3281600,44.041736247636415,-1.0899882392328664,-1.0119896043971437,-0.0779986348357226,71.5052659749289,68.08391876220703,64.66257154948516,68.08391876220703,69.81564743041992,70.46519258499146,67.14632553356272,68.23631377279558,1.2911677871234433,-54998500,47.71719290149115,34.734482419078404,-52.28280709850885,-1.734537165486944,hold
2014-10-21,69.11239624023438,69.22422404061774,67.61197829747626,67.91019761534754,4556400,53.501373046779285,-0.8524108204099008,-0.9800738475996952,0.1276630271897944,71.33543646440522,68.02620697021484,64.71697747602447,68.02620697021484,69.79032943725586,70.42775899887084,67.44879794997374,68.30120877038364,1.348051217200045,-50442100,89.8679875853722,57.374900224308725,-10.132012414627791,-0.0812149661876384,hold
2014-10-22,68.23635864257812,69.29876516958561,68.19908034740673,69.06578115734524,4155400,49.50518779839865,-0.7264439237615221,-0.9293478628320606,0.2029039390705385,70.70628436638005,67.85304069519043,64.99979702400081,67.85304069519043,69.74749069213867,70.3806104850769,67.56996113345134,68.29640505721287,1.3303107604128184,-54597500,71.17814031636557,69.58777360107631,-28.82185968363443,-1.586044742878974,hold
2014-10-23,69.04715728759766,69.57836780609902,68.74893795499376,69.05647864145989,3604100,53.00396925275063,-0.554794253294574,-0.8544371409245632,0.2996428876299892,70.6324674326322,67.82882499694824,65.02518256126429,67.82882499694824,69.7083982849121,70.3376317024231,67.79722208024309,68.35201633353766,1.3311463606348242,-50993400,88.47614542696216,83.17409110956663,-11.523854573037845,1.5766000099442414,hold
2014-10-24,68.96328735351562,69.03784396518903,68.39480563219813,68.81417413016882,3374400,52.59797763098524,-0.4206789306812197,-0.7676854988758945,0.3470065681946748,70.48546522815248,67.78459663391114,65.0837280396698,67.78459663391114,69.67228164672852,70.29109762191773,67.97661673766963,68.39729566835085,1.2826610245465886,-54367800,86.85247359405436,82.16891977912735,-13.147526405945644,-0.0810038463562197,hold
2014-10-27,69.06578826904297,69.45719974348452,68.73961204034167,68.96327472429277,3402600,53.07108026002052,-0.3026320501223409,-0.674674809125184,0.372042759002843,70.44175825223341,67.77061729431152,65.09947633638963,67.77061729431152,69.65384765625,70.24917692184448,68.14418158865014,68.44681363877248,1.2422986444463218,-50965200,89.04346094842265,88.12402665647971,-10.956539051577348,3.174153256725941,hold
2014-10-28,70.82715606689453,70.83647742036555,69.40129472053377,69.46652997461206,4992800,60.38748749930534,-0.0661884071194265,-0.5529775287240325,0.4867891216046059,70.83155125388784,67.8726245880127,64.91369792213756,67.8726245880127,69.64160842895508,70.22754941940308,68.55694689299543,68.62313530011485,1.280040823508912,-45972400,99.84297989249082,91.9129714783226,-0.1570201075091965,7.801391838711138,hold
2014-10-29,70.81784057617188,71.73114131898616,70.43575037354132,71.00423211047583,6213500,60.33391287006515,0.1190706291029215,-0.4185678971586417,0.5376385262615633,71.2266305317118,68.00208206176758,64.77753359182336,68.00208206176758,69.63606842041015,70.20044298171997,68.90477669040719,68.78570606130427,1.2811372607900495,-52185900,86.63019771327329,91.83887951806224,-13.369802286726722,8.899357237945146,hold
