Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC,Signal
2014-10-16,25.991455078125,26.251369532175,24.882063702839176,24.98666404146792,119592600,26.80953015381283,-1.0952598225427188,-0.8807623198154961,-0.2144975027272226,30.55680553961648,27.831775188446045,25.10674483727561,27.831775188446045,29.370131187438965,28.985522441864013,26.817957586642,27.91321740918472,0.7146058806455367,110370200,31.115740688104523,18.328968518177437,-68.88425931189548,-9.512250933065134,hold
2014-10-17,26.21332740783692,27.22762935216064,25.991450142227787,26.470073864648416,76000000,30.42766520212642,-1.062362072173574,-0.9170822702871118,-0.1452798018864622,30.321830559373204,27.6560154914856,24.99020042359799,27.6560154914856,29.295176734924315,28.98032519340515,26.72493755913353,27.7872996313071,0.7518611184517735,186370200,36.06662372354303,29.23574063813065,-63.933376276456976,-6.837891080047571,hold
2014-10-20,26.44154930114746,26.52079153886484,26.061187527416514,26.1911435397668,53005200,34.039698251478995,-1.006275056068432,-0.9349208274433758,-0.0713542286250563,30.118466847241105,27.513537883758545,24.908608920275984,27.513537883758545,29.21475872039795,28.976768836975097,26.68133936559721,27.687614421665643,0.7309856108086702,239375400,43.61631441408524,36.93289294191093,-56.38368558591476,-5.537318586066159,hold
2014-10-21,27.24664306640625,27.30686792398977,26.733152639779533,26.74266373698785,62716400,44.9062408351915,-0.8866407111099335,-0.9252648041766872,0.0386240930667538,29.90335846750387,27.41559419631958,24.92782992513529,27.41559419631958,29.15037940979004,28.977050495147704,26.76830916572168,27.65494987683161,0.74058082595393,302091800,72.4699974299694,50.71764518919922,-27.530002570030607,-2.5065590125493795,hold
2014-10-22,26.73000144958496,27.484386942915325,26.7141520292488,27.316393727792843,72285000,40.316205683932026,-0.824019507585632,-0.9050157448584764,0.0809962372728443,29.6488083888287,27.290550231933597,24.93229207503849,27.290550231933597,29.08014530181885,28.973718175888063,26.76241567093141,27.586435178517046,0.7426989750762581,229806800,58.49102774202179,58.19244652869214,-41.50897225797821,-4.463503876789159,hold
2014-10-23,27.22762107849121,27.51606143613457,26.964536387583465,27.10717138380665,53116000,46.037498596055386,-0.7258706226599863,-0.8691867204187784,0.1433160977587921,29.46925825758726,27.21273374557495,24.95620923356264,27.21273374557495,29.017908248901367,28.973826656341554,26.83398573363292,27.559856356292908,0.7457961901814976,282922800,71.95531223270467,67.63877913489863,-28.044687767295343,-1.400413665965251,hold
2014-10-24,27.13253593444824,27.2878500101903,26.774361966799635,27.24030661230648,50494800,45.14693310928536,-0.6482864579534677,-0.8250066679257164,0.1767202099722487,29.18477395932505,27.111620330810545,25.03846670229604,27.111620330810545,28.95723850250244,28.97388137817383,26.879916533758355,27.528202991711822,0.7292027511250095,232428000,70.84046903854595,67.09560300442415,-29.159530961454053,-2.6941091795004453,hold
2014-10-27,26.561994552612305,26.71730863512133,26.28940110755845,26.701459222949065,47002800,40.1305733985898,-0.6256265364870863,-0.7851306416379904,0.159504105150904,28.859648981701756,26.98530778884888,25.110966595996004,26.98530778884888,28.88068008422852,28.97097409248352,26.831005459735884,27.45663199622297,0.7373407565367792,185425200,59.67739702168298,67.49105943097787,-40.32260297831702,-1.1092963887419358,hold
2014-10-28,27.167404174804688,27.24030808597168,26.523957693640167,26.70145950409085,47250000,46.87584313067762,-0.5524486049469424,-0.7385942342997809,0.1861456293528385,28.6078280819564,26.907491588592528,25.207155095228657,26.907491588592528,28.81458984375,28.973795709609984,26.88275910820801,27.435207713154952,0.7358414448078314,232675200,82.49478457799795,71.00421687940896,-17.505215422002067,2.585254215608222,hold
2014-10-29,27.25617218017578,27.69359108504668,26.996257615400133,27.46537294655444,53445000,47.80442402173807,-0.4817385486970309,-0.6872230971792309,0.2054845484822,28.477495905066444,26.863433837890625,25.24937177071481,26.863433837890625,28.745608100891115,28.975327577590942,26.94020727312613,27.42194582182316,0.7330908751534541,286120200,86.00407176883027,76.05875112283707,-13.99592823116974,6.199912989414093,hold
2014-10-30,27.15790367126465,27.27835101915112,26.84410504237521,27.04696500633217,37592000,46.82857810058202,-0.4286881173181065,-0.6355161012070061,0.2068279838888995,28.35832977860976,26.821752548217773,25.28517531782579,26.821752548217773,28.673336296081544,28.976758546829224,26.973699026685903,27.40238714400401,0.7117448109836294,248528200,82.85981123781777,83.78622252821533,-17.140188762182238,7.166988814746703,hold
2014-10-31,27.70942497253418,27.7411213838138,26.961378058585584,27.21495418538487,40528600,52.66836830858646,-0.3382430531186138,-0.5760614915893276,0.2378184384707138,28.314788224540525,26.80986604690552,25.304943869270517,26.80986604690552,28.61159049987793,28.98075967788696,27.086887633739483,27.425130686858097,0.7166018477153857,289056800,99.00101450827624,89.28829917164143,-0.9989854917237664,8.515404660187402,hold
2014-11-03,27.27200508117676,28.02322226224868,27.189592488139297,27.72844108165396,53211200,48.15138319351036,-0.2984208083626924,-0.5205333549440007,0.2221125465813082,28.199027846242704,26.774524402618407,25.35002095899411,26.774524402618407,28.54519592285156,28.98279239654541,27.115367241037525,27.413788049400218,0.7249609853149569,235845600,78.25685433206222,86.70589335938541,-21.743145667937785,4.926811520181113,hold
2014-11-04,26.710968017578125,26.958205789810503,26.4764117097626,26.94235637757021,46878200,43.05145210409727,-0.3085753304123599,-0.4781417500376725,0.1695664196253126,28.10077880336711,26.729356002807616,25.357933202248123,26.729356002807616,28.462156257629395,28.98091106414795,27.053151975889925,27.361727306302285,0.7300061557506143,188967400,58.223877596384646,78.49391547890771,-41.77612240361536,1.8984259495131064,hold
