Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC,Signal
2014-10-16,119.22000122070312,119.6500015258789,118.87999725341795,119.0199966430664,6545400,55.58663195517001,-0.3907804875324672,-0.938094478804664,0.5473139912721969,119.33361499866474,117.24049873352052,115.14738246837628,117.24049873352052,120.48319961547853,123.64559967041016,117.9580222217467,118.34880270927916,1.0857258475625493,14261700,83.33335540911946,85.81541708503403,-16.666644590880534,2.590140400949929,hold
2014-10-17,118.98999786376952,119.2300033569336,118.41999816894533,119.05999755859376,8059000,53.88020958207038,-0.2795109415140047,-0.8063777713465322,0.5268668298325275,119.56095491779732,117.33549880981444,115.1100427018316,117.33549880981444,120.3393995666504,123.650549659729,118.11678770513484,118.39629864664884,1.0660315147358148,6202700,79.34024305440548,80.67128050597681,-20.659756945594523,1.9011743465995297,hold
2014-10-20,119.8000030517578,119.86000061035156,119.54000091552734,119.68000030517578,3033700,58.689836594961776,-0.1245328384233914,-0.6700087847619041,0.5454759463385126,119.93926525696278,117.48299903869628,115.0267328204298,117.48299903869628,120.21159957885742,123.65309967041016,118.37574391230758,118.50027675073098,1.0520294598676885,9236400,93.40282790820862,85.35880879057784,-6.597172091791382,2.6212140174605567,hold
2014-10-21,120.0199966430664,120.5,119.91000366210938,120.2699966430664,4566100,59.912590279735866,0.015857276278183,-0.5328355725538867,0.5486928488320697,120.29829169644869,117.60399894714357,114.90970619783845,117.60399894714357,120.0927995300293,123.65569965362548,118.62870587088588,118.61284859460768,1.026884280465868,13802500,92.10521032276846,88.28276042846085,-7.894789677231553,4.720352503188289,hold
2014-10-22,119.33999633789062,119.79000091552734,119.25,119.69000244140624,3740200,54.53890482489252,0.0714237830955681,-0.4119837014239957,0.4834074845195639,120.5020445198498,117.7184986114502,114.9349527030506,117.7184986114502,119.95979949951172,123.65829963684082,118.738135173502,118.66671139040642,1.0085351635087636,10062300,80.92099814535493,88.80967879211067,-19.079001854645064,2.8527084317994063,hold
2014-10-23,118.5199966430664,118.81999969482422,117.87999725341795,118.70999908447266,6417500,48.84906938211968,0.0487317682446217,-0.3198406074902722,0.368572375734894,120.57540136610518,117.77499847412108,114.974595582137,117.77499847412108,119.8061994934082,123.66029960632324,118.70457539958882,118.6558436313442,1.040782586434757,3644800,64.38841319501628,79.13820722104656,-35.61158680498372,1.8563045903960635,hold
2014-10-24,118.3499984741211,118.62999725341795,118.12000274658205,118.62000274658205,3610600,47.737170725697055,0.0168366688501606,-0.2525051522221857,0.2693418210723464,120.63046521120198,117.83949851989746,115.04853182859294,117.83949851989746,119.64699951171876,123.65974960327148,118.65002510336302,118.63318843451286,1.0028691521776965,34200,53.7634232179627,66.35761151944463,-46.2365767820373,0.7491250908941647,hold
2014-10-27,118.05999755859376,118.37000274658205,118.01000213623048,118.18000030517578,2443600,45.82108858746938,-0.0314782161744489,-0.2082997650126384,0.1768215488381894,120.65822669237042,117.8909984588623,115.12377022535418,117.8909984588623,119.49859939575197,123.6487495803833,118.55925163493698,118.59072985111143,0.9569499706186868,-2409400,47.52684643592572,55.22622761630157,-52.47315356407428,0.3570198666477414,hold
2014-10-28,118.0999984741211,118.4800033569336,118.01000213623048,118.4800033569336,3260100,46.14220408717159,-0.0657820762380225,-0.1797962272577152,0.1140141510196926,120.64358336704244,117.98549842834473,115.327413489647,117.98549842834473,119.36139938354492,123.63414958953858,118.48859730250376,118.5543793787418,0.9221679170532884,850700,27.492347550294426,42.92753906806095,-72.50765244970557,0.4337121797036169,hold
2014-10-29,116.41000366210938,117.91000366210938,116.13999938964844,117.6500015258789,7900800,36.34191430684339,-0.2267230675452936,-0.1891815953152309,-0.0375414722300626,120.66287768133502,117.96749877929688,115.27211987725872,117.96749877929688,119.1959994506836,123.61674961090088,118.16881366552002,118.39553673306531,0.9962987147261004,-7050100,6.192757675764777,27.070650553994977,-93.80724232423522,-1.780284374552814,hold
