Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC
2014-10-16,70.35871124267578,71.43810860316904,69.29579049590062,69.83961304436514,10233000,50.67436128402546,-0.4088958016635047,-0.16811978112640757,-0.24077602053709712,73.07423763742639,70.5424617767334,68.01068591604042,70.5424617767334,69.98248321533202,65.35289751052856,69.79272929250216,70.20162509416566,1.5448079037948597,32225900,73.42723993527682,33.67429791983628,-26.57276006472319,-0.9971294498010131
2014-10-17,72.65757751464844,73.17667565612967,71.47930174168745,71.56169737402648,8532800,58.94751039491781,-0.15007232285056205,-0.1645102894712385,0.014437966620676451,73.13769079447657,70.5581169128418,67.97854303120702,70.5581169128418,70.135009765625,65.41279642105103,70.23347517283236,70.38354749568292,1.6357476544847906,40758700,92.21260242305571,62.76047095884572,-7.78739757694429,3.88781298615389
2014-10-20,72.95421600341797,73.20140293155012,72.50927198911859,72.70702278890123,4890900,59.88254983709582,0.07808330008536757,-0.1159915715599173,0.19407487164528486,73.26897139780633,70.58983917236328,67.91070694692024,70.58983917236328,70.27935623168945,65.47202222824097,70.65205068523014,70.57396738514477,1.5683464607667008,45649600,96.30546040346668,87.31510092059973,-3.694539596533319,4.287404583441168
2014-10-21,74.93999481201172,75.04711482927846,73.20966078192455,73.46509550384938,5882100,65.54081714843188,0.4143575728707418,-0.00992174267378547,0.4242793155445273,74.04340051334454,70.76946487426758,67.49552923519063,70.76946487426758,70.46752151489258,65.54467584609985,71.31173439704268,70.89737682417194,1.6058144868448283,51531700,98.7451255585554,95.75439612835926,-1.2548744414445934,5.731254015028478
2014-10-22,73.96769714355469,75.34373020291565,73.91826101334004,75.34373020291565,4290300,61.003900514867446,0.5955360914111765,0.11116982414320693,0.48436626726796955,74.30015856722,70.83373527526855,67.36731198331711,70.83373527526855,70.63049758911133,65.60323244094849,71.72034405035222,71.12480795894105,1.592932679897027,47241400,84.42155407675168,93.15738001292459,-15.57844592324833,5.50006382175091
2014-10-23,74.70103454589844,75.21189131621057,74.50327745443752,74.93174486621808,3159200,63.079781653901215,0.7891981868487932,0.2467754966843242,0.542422690164469,74.87379982089868,71.01830520629883,67.16281059169899,71.01830520629883,70.78697158813476,65.6690767288208,72.1789118188978,71.38971363204901,1.5680227865226593,50400600,92.72386701043438,91.96351554858047,-7.276132989565624,7.68498294191011
2014-10-24,75.50851440429688,75.55795052986947,74.64334448847116,74.70102835015149,2977300,65.27195168423944,0.9963483849488171,0.3966900743372228,0.5996583106115942,75.55052626370569,71.22594451904297,66.90136277438025,71.22594451904297,70.95450836181641,65.73708696365357,72.69115837049766,71.69480998554884,1.5213501618709204,53377900,99.45357234551274,92.19966447756627,-0.5464276544872653,5.795413888576218
2014-10-27,75.91226959228516,76.03586621240066,75.29429277809284,75.33549374692643,3948900,66.34790441012746,1.1794995422176981,0.5532519679133179,0.6262475743043803,76.24070884727061,71.45747947692871,66.67425010658681,71.45747947692871,71.13586318969726,65.81273052215576,73.18671394308035,72.00721440086265,1.4656518241878422,57326800,98.70240653804096,96.95994863132937,-1.2975934619590426,8.464789563020885
2014-10-28,76.33250427246094,76.44785945465965,74.45385554935514,75.02239629475304,4741300,67.47732959712675,1.343075442858705,0.7112166629023954,0.6318587799563097,76.948050004812,71.72073745727539,66.49342490973878,71.72073745727539,71.31134689331054,65.89356718063354,73.67068168606198,72.32760624320328,1.5033912585533185,62068100,98.83914152561037,98.99837346972136,-1.160858474389627,8.490481028256495
2014-10-29,76.5961685180664,77.18942728933722,76.37369962203259,76.546732382589,4330400,68.19849853752147,1.4769605419521383,0.8643654387123441,0.6125951032397943,77.62140700915826,72.05362091064453,66.48583481213079,72.05362091064453,71.47356063842773,65.97539674758912,74.12075658329343,72.64379604134129,1.4572149555763871,66398500,94.44442787447696,97.32865864604277,-5.555572125523046,10.732597161121477
2014-10-30,77.35420989990234,77.57668505730392,76.21713490708969,76.26657103700792,2836400,70.2415859820795,1.6254953532749283,1.0165914216248608,0.6089039316500675,78.35579443555015,72.42358322143555,66.49137200732095,72.42358322143555,71.6515919494629,66.05768049240112,74.6182109396948,72.99271558641988,1.4502388980505188,69234900,97.98954009091608,97.09103649700114,-2.010459909083923,13.354263888899759
