Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC
2014-10-16,84.00569152832031,84.72869591392822,82.72441802195665,82.7518727357022,93165800,28.490817123557278,-1.3852760091112089,-0.7314711619516872,-0.6538048471595217,93.30704260050828,88.70842590332032,84.10980920613235,88.70842590332032,89.48462646484376,83.76236640930176,86.92427602704899,88.3095520361602,1.4549489718203301,-19591400,17.10817657949688,14.788193643904266,-82.89182342050313,-7.085741356327152
2014-10-17,85.11308288574219,85.92760537842399,84.61887705045557,85.11308288574219,69546700,35.54935114938772,-1.4271456151502377,-0.8706060525913972,-0.5565395625588405,93.05427801944413,88.38902168273925,83.72376534603438,88.38902168273925,89.46638885498047,83.79314762115479,86.64563092838641,88.07277654353665,1.4883036059834265,49955300,30.46364664227956,23.693929508210747,-69.53635335772044,-4.330827707294718
2014-10-20,86.38519287109375,86.45841009379095,84.93003722747503,85.10391940340753,41479300,42.56312437768324,-1.3422068106211498,-0.9649262041973478,-0.377280606423802,92.79783367456434,88.17578048706055,83.55372729955675,88.17578048706055,89.46117614746093,83.8331392288208,86.60556353495677,87.94777034557792,1.491165696007176,91434600,48.70867735895806,32.09350019357816,-51.29132264104194,-2.9009451882083788
2014-10-21,88.6549072265625,88.6549072265625,87.23635274263248,87.4559975010075,53609800,52.496204961530744,-1.07930367546129,-0.9878016984501362,-0.0915019770111537,92.60354525688645,88.0883804321289,83.57321560737135,88.0883804321289,89.49113220214844,83.88592697143555,86.92084717981919,88.00015085528048,1.5467763145401456,145044400,77.81694277131908,52.32975559085222,-22.183057228680926,-1.3241973265376568
2014-10-22,88.1972885131836,89.04841960060952,88.14237210012499,88.92943985763193,39178000,50.596311435650094,-0.8975308751872291,-0.9697475337975549,0.07221665861032578,92.1875793579751,87.92959327697754,83.67160719597999,87.92959327697754,89.51266571044921,83.93280769348145,87.11722276956756,88.01475364475479,1.5010099706790305,105866400,71.94814834148194,66.15792282391969,-28.051851658518054,-1.6231146379442778
2014-10-23,89.52433013916016,90.01853603149237,88.92945228825765,89.08503368518254,48123800,55.61305666545027,-0.6390271455477432,-0.9036034561475925,0.2645763105998493,92.1965902283741,87.93325462341309,83.66991901845208,87.93325462341309,89.54229705810548,83.98546398162841,87.48754698027412,88.12657412582186,1.5238840812240126,153990200,88.96697706286055,79.57735605855385,-11.033022937139448,1.2944111912567702
2014-10-24,90.25645446777344,90.32051778244292,89.35956108002297,89.7164862592355,43157600,58.138636039987276,-0.37081029245878483,-0.797044823409831,0.42623453095104613,92.17274598524543,87.92593193054199,83.67911787583856,87.92593193054199,89.57744140625,84.04309288024902,87.91353274758171,88.2843430400405,1.4836749827380082,197147800,98.35620669026925,86.42377736487056,-1.6437933097307589,0.17262917699821
2014-10-27,90.32054138183594,90.48527666008285,89.7073558013517,90.08258887272832,29545700,58.36197531708415,-0.15133077860394906,-0.6679020144486546,0.5165712358447055,92.17867419782067,87.92776374816894,83.67685329851722,87.92776374816894,89.60528427124024,84.09977565765381,88.28384176823621,88.43517254684016,1.4332639738803756,226693500,97.91425183932351,95.07914519748442,-2.0857481606764825,1.8893585231737409
2014-10-28,91.68415832519533,91.70245913756592,90.67744606774303,90.741509384607,34495100,62.89782648517189,0.13112923233211404,-0.5080957650925009,0.6392249974246149,92.42327767399155,87.99136886596679,83.55946005794203,87.99136886596679,89.64670455932617,84.16911197662354,88.80696739238377,88.67583816005165,1.4295963868696335,261188600,99.79923019233945,98.68989624064405,-0.20076980766055158,6.077882669846342
2014-10-29,91.34554290771484,91.62925789512754,90.695755777953,91.38215151842546,40552800,61.11736604125565,0.3239234043794994,-0.3416919311981008,0.6656153355776002,92.76279367294738,88.11034355163574,83.45789343032409,88.11034355163574,89.67130920410156,84.22933639526367,89.19751747166546,88.87359406728596,1.398082541181969,220635800,96.08443596016217,97.93263933060837,-3.915564039837829,7.368751346835029
2014-10-30,91.53772735595705,91.75737900697224,90.73235891603568,90.93370277161054,35935800,61.778666348785585,0.4866124877023026,-0.17603104741802017,0.6626435351203228,93.11561715300857,88.23892745971679,83.36223776642501,88.23892745971679,89.69975753784179,84.28726455688476,89.55754976155649,89.07093727385418,1.3714352233072975,256571600,97.60473410716891,97.82946675322349,-2.3952658928310937,7.583041272213056
2014-10-31,92.80072021484376,93.12103688135036,92.49870436540338,93.05697354804904,54254100,65.88501288205497,0.7092815703569499,0.0010314761369738523,0.7082500942199761,93.61559944507292,88.38673210144044,83.15786475780797,88.38673210144044,89.74981399536132,84.35146251678466,90.05649906206222,89.34721749170527,1.3865691020277275,310825700,96.95918220462494,96.88278409065198,-3.040817795375069,9.775910892498272
2014-11-03,93.07525634765624,93.32236271568352,92.82815696200728,92.96543750175816,33481000,66.72194642974057,0.8975547417739023,0.18033612926435955,0.7172186125095428,94.15250740835475,88.55787239074706,82.96323737313938,88.55787239074706,89.80262161254883,84.41929496765137,90.5209232598459,89.623368518072,1.3247886305143015,344306700,97.69817233894538,97.42069621691307,-2.301827661054616,10.796369453465374
2014-11-04,92.76410675048828,93.00205925419196,92.1326203678198,92.78240756659812,22773300,64.78215268365284,1.0100126177051578,0.3462714269525192,0.6637411907526386,94.66263216445591,88.77706146240234,82.89149076034877,88.77706146240234,89.84281539916992,84.48254077911378,90.86602841225243,89.85601579454728,1.2974920126087397,321533400,94.73241292223685,96.46325582193572,-5.267587077763164,8.98924537255572
2014-11-05,92.7732391357422,93.3772636806045,92.45291557787864,93.3772636806045,25818600,64.81448601193169,1.0873390342218983,0.49448494840639506,0.5928540858155031,95.02720445926722,88.91067771911622,82.79415097896522,88.91067771911622,89.88136566162109,84.54479194641114,91.15944544663547,90.07210641241358,1.2708388761885339,347352000,93.10347247308005,95.17801924475408,-6.8965275269199555,7.394839384315391
2014-11-06,93.0661163330078,93.09357104651812,92.36141276847546,92.7641005196368,24671900,65.89587160456651,1.1588945041041114,0.6273668595459384,0.531527644558173,95.50790330005802,89.1316982269287,82.75549315379939,89.1316982269287,89.9254083251953,84.60986461639405,91.45277942915429,90.29388492505018,1.2323616906066859,372023900,96.31657385624567,94.7174864171875,-3.683426143754319,4.975707768970093
2014-11-07,92.98377990722656,93.26749501158596,92.49872783453591,93.23088638578535,20931700,65.28837525235488,1.1951815590309423,0.7409297994429392,0.454251759588003,95.91964260185996,89.45933799743652,82.99903339301308,89.45933799743652,89.96981307983398,84.68239681243897,91.68831796424233,90.49313640521139,1.1992477967812119,351092200,93.59242012541088,94.33748881824552,-6.407579874589123,5.4270278312779325
2014-11-10,93.31322479248048,93.432197556697,92.78241033850604,93.02951674883668,20360000,66.61460107618578,1.236271788819721,0.8399981973182956,0.3962735915014254,96.21039302731936,89.87117576599123,83.5319585046631,89.87117576599123,90.0140495300293,84.76037620544433,91.93830363012512,90.7020318413054,1.1600006125961941,371452200,97.75091323535614,95.88663573900423,-2.24908676464385,4.232251330370994
2014-11-11,93.60610961914062,93.60610961914062,93.07529503540016,93.33155540789572,15454000,67.79273633490843,1.2777404531590975,0.9275466484864561,0.3501938046726414,96.43473770129486,90.29719886779786,84.15966003430086,90.29719886779786,90.05884872436523,84.84004608154297,92.19488916689673,90.91714871373763,1.1150587533922134,386906200,100.0,97.114444453589,-0.0,3.711263832730323
2014-11-12,93.77081298828124,93.87148492615007,93.23085166914731,93.23085166914731,22050300,68.46664198667766,1.3088077329785364,1.0037988653848722,0.3050088675936642,96.4679196014714,90.75891418457032,85.04990876766924,90.75891418457032,90.11771560668946,84.92470123291015,92.43733898557126,91.12853125259272,1.081171217935824,408956500,97.76875804419322,98.50655709318312,-2.2312419558067775,3.820029811224283
2014-11-13,94.17350006103516,94.52127140056182,93.73420370055732,93.94470147341474,28027800,70.11319115541583,1.3503561918262506,1.073110330673148,0.27724586115310257,96.24420883363186,91.26730461120606,86.29040038878026,91.26730461120606,90.186279296875,85.0042677307129,92.70444068948878,91.35408449766253,1.060163823797872,436984300,92.77570758440962,96.84815520953426,-7.2242924155903845,2.715127434567662
2014-11-14,94.46636962890624,94.46636962890624,93.8348832415407,94.14605297675682,19251300,71.28745947808572,1.3908825431544614,1.1366647731694108,0.2542177699850505,96.02060195860464,91.73496894836425,87.44933593812387,91.73496894836425,90.25157135009766,85.08633911132813,92.97550668016838,91.58462413701392,1.0295440069098485,456235600,98.57168921837251,96.37205161565844,-1.4283107816274931,3.4165068396870995
2014-11-17,94.18267059326172,94.45722475746813,93.73422025501192,94.24673392981454,23361600,68.48058148540508,1.3841521825977452,1.1861622550550777,0.19798992754266753,95.76254424653014,92.12484283447266,88.48714142241518,92.12484283447266,90.30771942138672,85.17594882965088,93.16122420525966,91.77707202266191,1.0083015331230247,432874000,91.14888447196599,94.16542709158269,-8.851115528034022,2.889456963487249
2014-11-18,94.88734436035156,95.01547100248804,94.25585806526588,94.26501196324088,26336800,71.48398797633452,1.4193185860023902,1.2327935212445402,0.18652506475785002,95.89516837151797,92.43646469116212,88.97776101080626,92.43646469116212,90.39311721801758,85.2662771987915,93.42678115219687,92.00746256619448,0.9957657385589745,459210800,97.00856200934483,95.5763785665611,-2.991437990655165,2.2484999477127294
2014-11-19,94.45720672607422,94.78667724613166,94.01791735425006,94.78667724613166,23760200,67.27029149963246,1.3963830670066812,1.2655114303969683,0.1308716366097129,95.71481422809318,92.74946060180665,89.78410697552012,92.74946060180665,90.45493835449219,85.35544986724854,93.58530816356262,92.18892509655593,0.9867415433834409,435450600,80.63499129298222,89.59747925809768,-19.36500870701778,1.484766663715756
2014-11-20,94.87821197509766,94.96058311079273,93.98132527678194,94.05453553004656,22874000,69.18491173150593,1.396084910256846,1.291626126368944,0.10445878388790208,95.72505144263934,93.01715469360352,90.30925794456769,93.01715469360352,90.52664047241211,85.44184211730958,93.78421644226032,92.38813153200347,0.9862069927139652,458324600,95.23877422785101,90.96077584339268,-4.761225772148994,2.279012107878942
2014-11-21,95.0612564086914,95.81171562871197,94.75924054417118,95.7201905916719,34049100,70.0064394658653,1.3945433472750608,1.3122095705501675,0.08233377672489328,95.78982856144579,93.25739479064941,90.72496101985304,93.25739479064941,90.61131622314453,85.52222846984863,93.98068412940357,92.58614078212851,0.9909404278444525,492373700,79.60207152019828,85.15861234701049,-20.397928479801728,2.466247049541373
2014-11-24,95.80257415771484,95.848336682172,95.23515097339838,95.31752212094506,17928300,73.13070308218931,1.4365797967438994,1.337083615788914,0.09949618095498525,95.91545531815085,93.53149642944337,91.14753754073588,93.53149642944337,90.72834808349609,85.60405937194824,94.26097490298991,92.82439510624602,0.9763789882470343,510302000,98.68759612799677,91.17614729201534,-1.3124038720032365,2.940337399398394
2014-11-25,95.94898986816406,96.2327049166223,95.7018904206734,95.94898986816406,17526000,73.71311038632102,1.4648229429248971,1.3626314812161107,0.10219146170878646,96.19171479297921,93.7447380065918,91.29776122020439,93.7447380065918,90.83260467529297,85.68209873199463,94.5206695130167,93.0558465700918,0.944552953082882,527828000,92.67130876200996,90.32032547006833,-7.328691237990047,3.1889539916488685
