Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC,Signal
2014-10-16,2.640000104904175,2.720000028610229,2.539999961853028,2.559999942779541,38795400,12.441003304207712,-0.3329909763768803,-0.2662863072204215,-0.0667046691564587,4.076484430785101,3.274500000476837,2.472515570168573,3.274500000476837,3.774799990653992,3.917150020599365,2.973946203308564,3.3069371796854443,0.1438004947416606,94889600,8.92858321265164,5.636326442703325,-91.07141678734835,-22.58064403358919,hold
2014-10-17,2.720000028610229,2.859999895095825,2.6600000858306885,2.6700000762939453,75956600,19.512214127445414,-0.3285827926325919,-0.2787456043028556,-0.0498371883297362,4.017144931646009,3.220000004768372,2.4228550778907336,3.220000004768372,3.747199993133545,3.9110000205039976,2.9348775610472813,3.263460353679873,0.149243301559517,170846200,17.307699361496603,10.810322101516798,-82.6923006385034,-18.80596698379424,hold
2014-10-20,2.6700000762939453,2.799999952316284,2.5999999046325684,2.789999961853028,28711000,18.50626397119487,-0.3253731543552303,-0.2880711143133306,-0.0373020400418996,3.956536685625629,3.165500009059906,2.374463332494183,3.165500009059906,3.718199996948242,3.904350020885468,2.894127178777537,3.219500333132767,0.1528687834255312,142135200,14.130446050026393,13.455576208058204,-85.86955394997361,-21.238938239814058,hold
2014-10-21,2.7699999809265137,2.7799999713897705,2.680000066757202,2.700000047683716,24033800,26.65102991224721,-0.3111733239466621,-0.2926915562399969,-0.0184817677066651,3.8899148393540495,3.1195000052452087,2.349085171136367,3.1195000052452087,3.690799999237061,3.897550020217896,2.8750306868004567,3.186204010747119,0.1498067199734093,166169000,24.999999999999964,18.81271513717431,-75.00000000000004,-18.529414610879165,hold
2014-10-22,2.640000104904175,2.799999952316284,2.640000104904175,2.789999961853028,23034800,23.379719789257848,-0.3068723264266695,-0.2955277102773314,-0.011344616149338,3.8154265658268263,3.066500008106232,2.3175734503856367,3.066500008106232,3.662000002861023,3.889850021600724,2.8388721357394906,3.14574446216616,0.150534800504745,143134200,10.86957986503432,16.666675305020217,-89.13042013496568,-21.428565853306864,hold
2014-10-23,2.690000057220459,2.7100000381469727,2.650000095367432,2.680000066757202,23731000,27.08674502544021,-0.2960168783111125,-0.2956255438840877,-0.0003913344270248,3.738456858205824,3.019500005245209,2.3005431522845927,3.019500005245209,3.633600001335144,3.882400022745133,2.815968739044255,3.1119856173553675,0.1447823099860345,166865200,16.666675496983434,17.512085120672566,-83.33332450301657,-17.98780241816046,hold
2014-10-24,2.680000066757202,2.7300000190734863,2.6700000762939453,2.690000057220459,11945800,26.80739348233054,-0.2849362059121056,-0.2934876762896913,0.0085514703775856,3.6547422422326594,2.9735000133514404,2.292257784470221,2.9735000133514404,3.605600004196167,3.875350022315979,2.795050481769324,3.079986687681429,0.1387264266141421,154919400,16.66667612771963,14.734310496579122,-83.33332387228037,-18.29268017884592,hold
2014-10-27,2.6600000858306885,2.7100000381469727,2.650000095367432,2.680000066757202,13307500,26.224858398979208,-0.2746030712470548,-0.289710755281164,0.0151076840341091,3.5688093523859643,2.9290000200271606,2.289190687668357,2.9290000200271606,3.5762000036239625,3.867800022363663,2.7742734977787644,3.0488765690258197,0.133103106340242,141611900,15.584432071448738,16.30592789871726,-84.41556792855127,-9.830507022558518,hold
2014-10-28,2.720000028610229,2.7699999809265137,2.6700000762939453,2.690000057220459,22878300,31.064532943666336,-0.2585916105185526,-0.2834869263286417,0.0248953158100891,3.5003539332264637,2.8945000171661377,2.288646101105812,2.8945000171661377,3.546400003433228,3.860750021934509,2.7659237332912974,3.02451534380985,0.1314528769656408,164490200,27.272733840731235,19.841280679966527,-72.72726615926877,0.0,hold
2014-10-29,2.7699999809265137,2.809999942779541,2.7300000190734863,2.75,15600900,34.897267649198525,-0.2391115056545398,-0.2746118421938214,0.0355003365392815,3.435849905524515,2.865500020980835,2.2951501364371545,2.865500020980835,3.5164000034332275,3.853100020885468,2.7665508483121,3.00566235396664,0.1284919510516173,180091100,56.097553884041325,32.98490659874043,-43.90244611595868,1.0948894629691135,hold
