Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ATR,OBV,Stoch_K,Stoch_D,Williams_R,ROC,Signal
2014-10-16,137.04464721679688,139.9907270913135,135.99643806074278,136.59995682946638,7797500,33.89389814965172,-0.7707980084746566,0.4360374633231885,-1.2068354717978451,151.477637741555,145.2996452331543,139.1216527247536,145.2996452331543,142.62110412597656,133.74677555084227,143.05756953752953,143.8283675460042,3.033516982978063,18170000,7.236873347132123,15.659410361002443,-92.76312665286788,-5.986852710581684,hold
2014-10-17,140.48306274414062,140.9833333339761,139.04575566524687,139.6016186077882,4951000,43.20250014315731,-0.9190756209947324,0.1650148464596043,-1.0840904674543368,151.330161541425,144.9307884216309,138.53141530183672,144.9307884216309,142.75344451904297,133.7537544631958,142.66149156931584,143.58056719031055,3.098171921135289,23121000,30.9758166128738,23.34191456618829,-69.0241833871262,-2.097377544334105,hold
2014-10-20,141.2215576171875,141.34861546048958,139.61749778388457,139.9351302752369,2307900,44.99403998420578,-0.965862471461179,-0.0611606171245523,-0.9047018543366266,151.14495752578094,144.6349884033203,138.12501928085968,144.6349884033203,142.85052307128908,133.75947223663331,142.4399632689884,143.4058257404496,3.000525189383126,25428900,36.0744115191282,24.76236715971137,-63.9255884808718,-2.755903774418732,hold
2014-10-21,143.07977294921875,143.2227160919334,141.63452895945105,142.3174499110947,2649500,49.32536816888521,-0.8432781543544934,-0.2175841245705405,-0.6256940297839528,150.89083657239257,144.44003982543944,137.9892430784863,144.44003982543944,142.98159942626953,133.76968471527098,142.5383955274854,143.38167368183989,2.929141852623324,28078400,48.903596354940845,38.65127482898095,-51.09640364505916,-4.195215889030498,hold
2014-10-22,140.41958618164062,143.5721390447252,140.41958618164062,143.37361562572443,3088300,43.98559743286107,-0.9498349340423432,-0.3640342864649011,-0.585800647577442,150.3024863767557,144.00408401489258,137.70568165302947,144.00408401489258,143.06152893066405,133.7708420944214,142.21242485889388,143.16225979293625,2.945099781941984,24990100,30.53757216454911,38.50519334620605,-69.46242783545088,-5.680583143209132,hold
2014-10-23,142.98446655273438,143.8103305370852,141.91244765124856,141.98391315463337,3397000,49.64574927388196,-0.8178894191915447,-0.4548053130102298,-0.3630841061813148,150.07500093795488,143.84407577514648,137.61315061233807,143.84407577514648,143.1921240234375,133.78423412323,142.3312005041001,143.14908992329163,2.9769315371921694,28387100,48.24559759911488,42.56225537286827,-51.75440240088512,-2.0348410520227977,hold
2014-10-24,145.59707641601562,145.70824904298206,142.94479440083208,143.15126650584656,2900900,54.670363686819016,-0.4967793039989203,-0.463200111207968,-0.0335791927909523,149.89131805063326,143.77379989624023,137.6562817418472,143.77379989624023,143.36927185058593,133.81477802276612,142.8336429520871,143.33042225608602,2.961683187546299,31288000,76.81087468264624,51.86468148210341,-23.18912531735375,-1.76273897449065,hold
2014-10-27,146.0417022705078,146.24022559626832,144.77114813887974,145.20790187893328,2383700,55.48447342717186,-0.2040672731733934,-0.4113735436010531,0.2073062704276597,149.8991292644922,143.7769744873047,137.6548197101172,143.7769744873047,143.56845275878905,133.8436527633667,143.32719053953645,143.53125781270984,2.855068492535033,33671700,80.36814863946672,68.47487364040927,-19.63185136053327,1.4563685701780265,hold
2014-10-28,147.95550537109375,147.95550537109375,145.47792543445607,146.24026051886116,3027700,58.90561048801697,0.1802591210890511,-0.2930470106630323,0.4733061317520835,150.2209262258406,143.88616027832032,137.55139433080004,143.88616027832032,143.76395385742188,133.8919646835327,144.03923897516066,143.8589798540716,2.828105024256651,36699400,100.0,85.72634110737097,-0.0,3.293050471254518,hold
2014-10-29,147.76495361328125,148.7416854481689,147.21702703469052,147.7728901880043,3379000,58.42415978742819,0.4641145989211281,-0.1416146887462002,0.6057292876673284,150.65147548724715,144.0997756958008,137.54807590435442,144.0997756958008,143.9649838256836,133.9364928817749,144.61242584256382,144.1483112436427,2.7350016949153466,33320400,92.33650155860248,90.90155006602306,-7.66349844139751,4.089075322967267,hold
