Date,Close,High,Low,Open,Volume
2014-01-02,32.085182189941406,32.44175736179792,31.962002335768783,32.33802668545872,8265052
2014-01-03,32.24076843261719,32.41581357190509,32.06572329332928,32.08517246526787,6743880
2014-01-06,32.24724197387695,32.50656851654713,32.09813083174155,32.2926250907842,10408107
2014-01-07,32.48712158203125,32.67513366236551,32.37690876576362,32.38987574174808,10475598
2014-01-08,32.279659271240234,32.506569680219606,32.15647948304229,32.48063832094425,14353094
2014-01-09,32.104618072509766,32.415809972655595,31.98792305383532,32.299114953981146,9771447
2014-01-10,32.3380241394043,32.46120398387866,32.09166185861438,32.305607981620334,8533969
2014-01-13,34.43854904174805,34.64601025862122,32.92797302833015,32.99928749765034,39081282
2014-01-14,34.36077117919922,34.42560349779035,33.8226686369437,34.05606394713526,22207854
2014-01-15,34.0495719909668,34.295931620779214,33.93935656258924,34.13385087076533,10991424
2014-01-16,34.036598205566406,34.34779007314864,33.77727164924788,33.809687792767704,8142541
2014-01-17,33.68002700805664,34.133847884713816,33.530915841296896,34.11439871478169,17563222
2014-01-21,33.60222625732422,33.87451719522551,33.524426995180974,33.73188823844293,11565204
2014-01-22,33.29103088378906,33.69946854351454,33.245647769668565,33.563321792992795,11164973
2014-01-23,33.45311737060547,33.55036581443459,32.97336252799309,33.20027556359439,16639934
2014-01-24,33.69948196411133,33.822661789391375,33.14841514317663,33.23917881572391,19137842
2014-01-27,34.0560417175293,35.07389601418159,34.0560417175293,34.26998511902189,32490096
2014-01-28,34.2764778137207,34.419106780971845,33.85507051251476,33.952318949371566,15801954
2014-01-29,33.84858322143555,34.257020892661735,33.5698075213136,34.166257253704785,20274713
2014-01-30,34.691383361816406,34.79511394807217,33.95878706832477,34.01065236145264,18205646
2014-01-31,34.341304779052734,34.671945809465754,34.205158015028545,34.561732996608086,17071920
2014-02-03,33.764312744140625,34.4580111241271,33.66058209681852,34.30241515314395,16232053
2014-02-04,34.691383361816406,34.69786814335686,33.97175403956652,34.094933786765345,19054631
2014-02-05,34.70436096191406,35.78705025949199,34.45151920037762,35.19059790992716,25682602
2014-02-06,34.859954833984375,34.924787114388295,34.23108897121778,34.5293138325001,12832550
2014-02-07,35.50827407836914,35.540687628213796,34.64601300344752,34.782159761786716,15192961
2014-02-10,35.58608627319336,35.65740077928205,35.151714450390706,35.19709758692034,11118861
2014-02-11,36.11121368408203,36.14362983264662,35.29433555251203,35.46938068128843,16089525
2014-02-12,35.657386779785156,36.104725407657604,35.56014094231725,35.94264728398441,14283926
2014-02-13,35.72221374511719,35.793528212584604,35.27487518387644,35.30080913123166,10735083
