Date,Close,High,Low,Open,Volume
2014-01-02,127.63482666015625,128.33478744588388,127.4248336774929,128.16368381073042,9291100
2014-01-03,127.85267639160156,128.22598826367562,127.58046264834458,127.86044951924274,6127600
2014-01-06,127.46373748779297,128.37369135943268,127.32375006170871,128.3192557606324,7446800
2014-01-07,128.30372619628906,128.55259674271616,127.95374568583742,128.06262877503053,5387200
2014-01-08,127.82141876220703,128.19473018669945,127.47921167835723,128.0936203117376,9461800
2014-01-09,127.69706726074219,128.31926131634904,127.17598315103876,128.2881450865182,8212900
2014-01-10,127.68929290771484,128.08594773323483,127.17599374638718,127.9848377789077,7497200
2014-01-13,126.18049621582031,127.76708002009678,126.10271749701508,127.47153512947648,10676100
2014-01-14,127.12149810791016,127.1370562182269,126.28153816122119,126.5693097989564,7335400
2014-01-15,127.99259185791016,128.17146861536193,127.23039862337839,127.28484608328608,7780800
2014-01-16,127.53369903564453,127.80591256308337,127.17594556985973,127.7203607573764,5170900
2014-01-17,127.7150650024414,128.11202978099195,127.34922982579914,127.48933084987785,8013200
2014-01-21,127.44268798828125,128.4701434695762,126.71101730499538,128.45457272310213,9675200
2014-01-22,127.24026489257812,127.49712866014941,126.8666502656539,127.46598717965874,5418100
2014-01-23,125.87044525146484,126.43086173676797,125.37228802685813,126.43086173676797,9456000
2014-01-24,123.35628509521484,125.23216285164021,123.35628509521484,125.09206171315397,14663200
2014-01-27,122.99810028076172,123.84652121006617,122.60112375500267,123.53517778479548,14215300
2014-01-28,123.71417236328125,123.89319419946169,123.2004451356458,123.34833738696398,8308000
2014-01-29,122.28205108642578,123.17717270918575,122.0096165697622,122.71793681149134,14271200
2014-01-30,123.11497497558594,123.58200246041035,122.49227562148748,123.2161670352651,7864700
2014-01-31,122.00960540771484,122.74905518630216,121.30907653894667,121.60484932418511,10693100
2014-02-03,119.50334167480469,122.01747758378191,119.28539866655298,121.86959701725645,18172800
2014-02-04,119.93141174316406,120.2816763371506,119.29314178687783,119.83021970692367,11853400
2014-02-05,120.00916290283203,120.26602660358829,119.18409203936802,119.651119109287,11603200
2014-02-06,121.5347900390625,121.54256946966709,120.41393442835313,120.41393442835313,10426200
2014-02-07,122.81136322021484,122.82693396422653,121.46478484964828,121.86174974446334,11528500
2014-02-10,122.78804779052734,122.84253947149,122.30546148257734,122.79582722623583,4790700
2014-02-11,124.35254669189453,124.60941054715012,122.93591764784722,123.02931836721328,7620400
2014-02-12,124.31360626220703,124.88959305556294,124.02560098853317,124.53932856936079,5249600
2014-02-13,124.76506042480469,124.90517335620595,123.4574030757092,123.49632399426493,5085000
2014-02-14,125.7770004272461,125.96381379255564,124.46155118773797,124.60166418097063,5824400
2014-02-18,125.63687896728516,125.90930171928892,125.4189360148821,125.862601354774,4966400
2014-02-19,124.944091796875,126.3607205636339,124.83512035327816,125.33327722072036,8245400
2014-02-20,125.55905151367188,125.87818654380467,124.61722904923303,124.97527313625885,7035600
2014-02-21,125.5083236694336,126.14050722330991,125.36003134758768,125.71905549043129,5268200
2014-02-24,126.17176055908203,126.97564993439852,125.63323018143677,125.67225636559297,6704400
2014-02-25,126.04669952392578,126.62425525174564,125.75792761456695,126.23401779191924,6067800
2014-02-26,126.31210327148438,126.6399014257731,125.86723860105911,126.2106495938682,5032900
2014-02-27,126.8662109375,126.87401140005711,125.94524426432527,126.1559758443988,5292500
2014-02-28,127.23319244384766,127.81854940515284,126.44490411412124,126.87416826756862,10010400
2014-03-03,126.03900146484375,126.58533197065712,125.25852591107842,126.11704187475318,9144400
2014-03-04,127.70917510986328,127.99794715533584,127.25649801400148,127.31893746609703,7947500
2014-03-05,127.49060821533203,127.85743245316779,127.38134218123868,127.8262067810814,4968400
2014-03-06,128.06826782226562,128.23997344651474,127.81070938589195,127.85754793632695,4651800
2014-03-07,128.2633819580078,128.69264600253558,127.84973076303963,128.5911803440704,7381900
2014-03-10,127.99017333984375,128.12285273725786,127.35797822165624,128.0369999613887,3995400
2014-03-11,127.54534149169922,128.3804562334398,127.3033959225189,128.21655109125487,5198700
2014-03-12,127.39704895019531,127.6624197469828,126.80389168790592,126.95218398075687,5250800
2014-03-13,125.69557189941406,128.02138537431637,125.48484019622151,127.7950527368948,9500500
2014-03-14,125.3834457397461,126.12490735529494,125.17272582606924,125.44588523943004,8603100
2014-03-17,126.72578430175781,126.95992929880292,125.91409514232522,125.96872222647384,6641400
2014-03-18,127.43608093261719,127.71705268212439,126.86633696329687,126.9756030931544,7094600
2014-03-19,126.58531951904297,127.6623794882095,125.77361835386769,127.42042208668853,7936400
2014-03-20,127.45172882080078,127.58440830716664,126.0312568330282,126.32004104134754,6616200
2014-03-21,127.14836120605469,128.37582177441496,127.07017383723687,127.80509215714112,7629500
2014-03-24,126.99981689453125,127.7972827520001,126.48380887324447,127.53927874135671,6336000
2014-03-25,127.74251556396484,128.0005195066609,127.1014246185473,127.7268757078186,5991100
2014-03-26,126.91371154785156,128.47736226079786,126.90589758898179,128.2740919628098,6133800
2014-03-27,126.87459564208984,127.18732095794824,126.29604068507506,126.85114183988576,7713700
2014-03-28,127.32032775878906,128.07869968828007,126.90596106696995,127.13268528468234,4536000
2014-03-31,128.40707397460938,128.57907660537222,127.93797372167157,128.0005212173776,6368400
2014-04-01,128.96212768554688,129.243585372955,128.67285603699548,128.7432174764196,4076100
2014-04-02,129.29055786132812,129.44693260033577,128.80582957361386,129.14983491188244,5597700
2014-04-03,129.26705932617188,129.5876107286621,128.9699736701907,129.56415691186658,4452600
2014-04-04,128.12557983398438,129.82995387167153,127.89102977410415,129.79086020673958,10559700
