Date,Close,High,Low,Open,Volume
2014-01-02,64.49927520751953,64.99526321702155,64.48510659275888,64.57721610321549,5919600
2014-01-03,65.08029174804688,65.3424570947553,64.66225000130673,64.68350562831989,5637600
2014-01-06,65.42037963867188,65.7179691449542,65.09444750239068,65.13695874448703,7443500
2014-01-07,66.80916595458984,67.04298870230625,65.88804898796504,65.92347864276074,11063300
2014-01-08,66.71705627441406,67.02881453154812,66.51865777612069,66.72413788071265,9096700
2014-01-09,67.12091827392578,67.58147127359254,66.66744147357076,67.2697130684681,7944700
2014-01-10,67.12801361083984,67.29806947293686,66.70288476721036,67.05715970453602,6697400
2014-01-13,66.95794677734375,67.30513461737858,66.64618317889315,66.86583726225845,9589200
2014-01-14,67.11383819580078,67.24137737655538,66.83041719347881,67.0288102733624,7567300
2014-01-15,67.1705322265625,67.5035461364253,66.9650521082599,67.0642486611223,7390700
2014-01-16,67.05715942382812,67.37600470376388,66.76665678745655,67.02881678026394,8401100
2014-01-17,67.35475158691406,67.43269250817352,66.87293743994957,67.11384721633517,13714400
2014-01-21,66.62494659423828,67.38309477512725,65.62589404082702,67.26264258886609,16368400
2014-01-22,66.83041381835938,66.99338264335108,66.27774586493607,66.59659109781698,8875500
2014-01-23,65.71088409423828,66.46195029708106,65.47706684993649,66.41943364791376,9322300
2014-01-24,64.20169067382812,65.61879011630387,64.20169067382812,65.27160226652282,10604200
2014-01-27,63.72697448730469,64.30798514122039,63.66320219053747,63.98205286276097,8685200
2014-01-28,63.84035873413086,64.1946337608528,63.62070994742179,64.18046513833939,8254400
2014-01-29,62.99005889892578,63.56398233028764,62.727893607587944,63.393931944292326,11160100
2014-01-30,63.415184020996094,63.61357702786498,63.06799625897553,63.500211912141616,6874900
2014-01-31,62.68541717529297,63.30185219404376,62.458681399445275,63.06803481062483,12193800
2014-02-03,61.48794937133789,62.90504893889417,61.367497205489016,62.88379331030976,13944600
2014-02-04,61.374595642089844,61.84223577541754,60.99905964590293,61.59424438609173,11436400
2014-02-05,61.84221649169922,62.11855044018216,61.27537997939288,61.28246158416053,10667300
2014-02-06,62.8838005065918,62.890887518866236,62.033542831078776,62.090222711854906,10037900
2014-02-07,63.797828674316406,63.797828674316406,62.78460218002289,63.00425090205228,9435100
2014-02-10,64.52764129638672,64.5347283092454,63.627785272383,63.93954356267513,8080200
2014-02-11,65.8738784790039,65.8738784790039,64.4426047969129,64.5418013405264,11556300
2014-02-12,65.48416137695312,65.88803448602256,65.15114215607383,65.85969184958547,7696100
2014-02-13,65.58338928222656,65.62590596012835,64.98112283572743,65.18660299386154,5926000
2014-02-14,65.7250747680664,65.85969554143244,65.2078310842539,65.61170421596294,5485100
2014-02-18,65.30703735351562,65.78885146019616,65.25035206901056,65.73216617569109,6926500
2014-02-19,64.93148803710938,65.71797856343262,64.88188977895406,65.29284986412931,7693400
2014-02-20,65.4558334350586,65.70383020810597,64.69768530903247,64.96693771272815,8160100
2014-02-21,65.3130874633789,65.8340530976535,65.26313230212278,65.55573070712593,7381500
2014-02-24,65.0204849243164,65.69844850501592,65.01334691813018,65.26312268761403,8406700
2014-02-25,65.0204849243164,65.56285905569807,64.69934542708053,65.36303299540756,6383400
2014-02-26,65.0204849243164,65.32735385388325,64.77784171631538,65.0204849243164,6334100
2014-02-27,65.19892120361328,65.24173836724101,64.76359522437986,65.05619369505054,7040300
2014-02-28,65.74127197265625,66.11236662872936,64.98480120324402,65.24171498233443,9643700
2014-03-03,65.34164428710938,65.64138074632109,64.82068401590097,65.03477526424638,7506700
2014-03-04,66.61194610595703,66.69758588313199,65.83407188093109,65.9910754167323,8796300
2014-03-05,66.07669067382812,66.58338573662233,65.92682519056524,66.56197171498117,6842500
2014-03-06,66.29078674316406,66.83316094779579,66.24083158252061,66.50488340003831,7718300
2014-03-07,66.59765625,66.7118425865061,66.14805980059172,66.6333408413342,6792000
2014-03-10,66.6904296875,66.71897627210706,66.21942465324435,66.49060903995492,4878200
2014-03-11,66.7189712524414,66.90452131607508,66.43351087255205,66.87597473361575,5837200
2014-03-12,66.79750061035156,66.81177662983556,66.1195366919271,66.24085563401043,6154900
2014-03-13,66.3692855834961,67.22566128411125,66.3550150145242,66.97588549182382,7659400
2014-03-14,66.23371124267578,66.68331325309859,65.9839353728329,66.28366641664437,7337800
