Date,Close,High,Low,Open,Volume
2014-01-02,97.1288070678711,97.98850649915097,96.7287487237894,97.96296547150223,44247700
2014-01-03,97.62248229980469,97.80123050340143,97.12879307423407,97.48628948142755,26468000
2014-01-06,96.83084869384766,98.11613391601982,96.78828682809458,98.0735785442957,36198000
2014-01-07,97.63947296142578,98.02251027413924,97.12876303850352,97.19685942663423,28545300
2014-01-08,97.76716613769531,97.95442798499361,97.09472881968321,97.69906973976322,30763600
2014-01-09,97.7927017211914,98.21829447182556,97.17133994192235,98.0991290211704,29872800
2014-01-10,98.32893371582031,98.33744738807621,97.37561023209268,97.81822377896205,29174600
2014-01-13,96.98404693603516,98.30338014274125,96.40524072135564,98.1416593653942,45370800
2014-01-14,98.17575073242188,98.32045722982788,97.18837874547653,97.40968883501114,39125300
2014-01-15,98.9077377319336,98.98434779238858,98.36297961280782,98.4310760012058,31644100
2014-01-16,99.02690887451172,99.06095707067392,98.5928089850097,98.78007081688715,23091900
2014-01-17,98.67792510986328,99.10351781602262,98.47364242923501,99.00137322869381,28722300
2014-01-21,99.2652359008789,99.47803223419014,98.55023684405819,99.35886680705815,29828700
2014-01-22,99.76746368408203,99.90365649760908,99.16312268562501,99.32485002818069,24011500
2014-01-23,99.0949935913086,99.40142082663534,98.44809742253314,99.35035178542377,36057500
2014-01-24,96.56700897216797,98.51622488141906,96.37123991018238,98.47366949552404,53591900
2014-01-27,95.15401458740234,96.89894072324755,94.60925646270609,96.84787167844138,60368200
2014-01-28,96.15841674804688,96.17543759886358,95.15401770509881,95.27318314290372,43722200
2014-01-29,94.77098083496094,95.8264554235469,94.49860176236473,95.23062173759753,61904600
2014-01-30,96.18395233154297,96.73722415260993,95.3668151087178,95.61365965947167,40851600
2014-01-31,95.46897888183594,96.18397166022858,94.62630047211945,94.6943968778799,49293400
2014-02-03,92.4813003540039,95.50300480223366,92.05570762940566,95.22211853946132,91686000
2014-02-04,93.17927551269531,93.58784090634235,92.26850730907104,92.94094461739623,53138100
2014-02-05,92.4813003540039,92.90689307860215,91.3066602779338,92.61748664897995,60644600
2014-02-06,93.21331024169922,93.6048547265446,92.65152478907612,92.67705931073554,57611700
2014-02-07,94.26879119873047,94.34539477421816,93.20480935675835,93.60486756838463,44068600
2014-02-10,94.51564025878906,94.55819563807323,93.59635834505374,94.30284388027793,38211600
2014-02-11,95.35832214355469,95.62218760261209,94.37095022015778,94.58374662108298,44394100
2014-02-12,95.73284149169922,96.19248247587691,95.30724870938991,95.50301775259511,42307500
2014-02-13,96.95000457763672,97.09470451650101,94.78799318967701,94.80501403788469,42082400
2014-02-14,97.08622741699219,97.21390655574453,96.30313822388962,96.72873102371024,32428200
2014-02-18,98.09909057617188,98.26932501209872,97.15427452051475,97.37558448244161,33630400
2014-02-19,97.09471893310547,98.431079759807,97.0181153637544,97.80120437814641,44024300
2014-02-20,98.14169311523438,98.3459758218342,96.9585457612139,97.20538384742235,35919600
2014-02-21,98.4480972290039,98.83112802539506,98.22678722747439,98.41404903692023,34814100
2014-02-24,99.17162322998047,99.85256772536856,98.5332341126623,98.60132401638018,43102800
2014-02-25,99.27375030517578,99.79297391577457,98.89071947494418,99.29929132201653,28474200
2014-02-26,99.8865966796875,100.53349934559674,99.10350773855082,99.34183859072036,40794800
2014-02-27,100.43136596679688,100.49094868648277,99.3844115360264,99.55464602254911,29906200
2014-02-28,100.0313491821289,101.04426233005417,99.41850088057704,100.40587300032624,47362700
2014-03-03,99.49507141113281,99.810012380298,98.38002049727133,99.18013044196762,50892800
2014-03-04,101.99755859375,102.63594770980097,100.59310123963189,100.61012209202009,112793900
2014-03-05,101.9379653930664,102.10819987557285,101.6911208476116,102.02308263431962,34691300
2014-03-06,101.92093658447266,102.35504295086686,101.64855751995708,102.24439118822993,35087600
2014-03-07,101.88691711425781,102.5423336847342,101.31662430183984,102.49126462512393,36931800
2014-03-10,101.54644012451172,101.7847710427806,100.85697540348475,101.59750918013206,32089000
2014-03-11,100.49093627929688,101.98051058156203,100.02278825214498,101.64004165055287,50359500
2014-03-12,100.79737854003906,100.81440588554523,99.52060037631747,99.9206585733283,37159100
2014-03-13,99.63127899169922,101.25704014203687,99.06097969327942,101.1634092047156,53542800
2014-03-14,100.04833984375,100.32923260438685,99.26525077836521,99.273757957272,46888100
2014-03-17,100.49093627929688,101.3761697867836,100.33772266273131,100.62712904692341,41561600
2014-03-18,101.95499420166016,102.04011144955709,100.52500235729066,100.62714695118481,41606600
2014-03-19,101.29104614257812,101.92092141790997,100.52497810824039,101.86985238029685,47423000
2014-03-20,101.4272689819336,101.75071713945556,100.57608346779463,101.06125895109263,33212900
2014-03-21,100.9591064453125,102.36356373246304,100.91654457532658,101.90392281153943,47110800
2014-03-24,99.80999755859375,101.48683376400649,98.89922947926158,101.3506409886904,66747000
2014-03-25,99.7861099243164,100.96377653908955,99.11193633335274,100.41761174579204,47699700
2014-03-26,97.87456512451172,100.42618021222759,97.84042899992824,100.38350842879821,69052500
2014-03-27,97.62704467773438,98.46335661305197,97.02114335416418,97.89159140062908,65234900
2014-03-28,97.53316497802734,98.99244944282857,97.26861827417827,97.69530986660425,50558000
